M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
12-05,12,5,0.13460007268399998,0.025400013716,0.048300026082,0.043200023328,0.043200023328,0.09650005211,0.050800027432,0.050800027432,0.053300028782,0.035600019223999996,0.03300001782,0.010200005508000001,0.109200058968,0.06100003294,0.07110003839399999,0.025400013716,0.010200005508000001,0.025400013716,0.034950018873,0.055725030091500004,0.049550026757,0.0635250343035,0.10285005553900001,0.13460007268399998,2023-12-05
12-06,12,6,0.13460007268399998,0.025400013716,0.048300026082,0.043200023328,0.043200023328,0.09650005211,0.050800027432,0.050800027432,0.053300028782,0.035600019223999996,0.03300001782,0.010200005508000001,0.114300061722,0.06100003294,0.07110003839399999,0.038100020574,0.010200005508000001,0.029200015768,0.0374750202365,0.05683753069225,0.049550026757,0.0635250343035,0.10540005691599999,0.13460007268399998,2023-12-06
12-07,12,7,0.13460007268399998,0.020300010961999997,0.048300026082,0.043200023328,0.043200023328,0.09650005211,0.055900030186,0.050800027432,0.053300028782,0.03300001782,0.03300001782,0.010200005508000001,0.114300061722,0.06100003294,0.07110003839399999,0.045700024677999995,0.010200005508000001,0.026650014390999996,0.040650021950999995,0.057150030861,0.049550026757,0.0635250343035,0.10540005691599999,0.13460007268399998,2023-12-07
12-08,12,8,0.13460007268399998,0.020300010961999997,0.048300026082,0.045700024677999995,0.043200023328,0.104100056214,0.06100003294,0.050800027432,0.053300028782,0.035600019223999996,0.03300001782,0.010200005508000001,0.114300061722,0.07110003839399999,0.073700039798,0.045700024677999995,0.010200005508000001,0.026650014390999996,0.041300022302,0.059056281890375,0.049550026757,0.071750038745,0.109200058968,0.13460007268399998,2023-12-08
12-09,12,9,0.14220007678799998,0.020300010961999997,0.058400031536,0.045700024677999995,0.043200023328,0.104100056214,0.068600037044,0.050800027432,0.053300028782,0.038100020574,0.03300001782,0.012700006858,0.114300061722,0.08380004525200001,0.073700039798,0.045700024677999995,0.012700006858,0.026650014390999996,0.0419250226395,0.061743783341624996,0.052050028107000004,0.0762250411615,0.109200058968,0.14220007678799998,2023-12-09
12-10,12,10,0.14220007678799998,0.020300010961999997,0.058400031536,0.045700024677999995,0.043200023328,0.104100056214,0.07110003839399999,0.050800027432,0.053300028782,0.038100020574,0.03300001782,0.03050001647,0.116800063072,0.08380004525200001,0.076200041148,0.045700024677999995,0.020300010961999997,0.031750017145,0.0419250226395,0.0633250341955,0.052050028107000004,0.078100042174,0.110450059643,0.14220007678799998,2023-12-10
12-11,12,11,0.14220007678799998,0.020300010961999997,0.06100003294,0.045700024677999995,0.043200023328,0.111800060372,0.08380004525200001,0.050800027432,0.053300028782,0.038100020574,0.03300001782,0.03050001647,0.116800063072,0.08380004525200001,0.076200041148,0.045700024677999995,0.020300010961999997,0.031750017145,0.0419250226395,0.06476253497175,0.052050028107000004,0.08380004525200001,0.114300061722,0.14220007678799998,2023-12-11
12-12,12,12,0.14220007678799998,0.020300010961999997,0.06100003294,0.040600021923999995,0.043200023328,0.109200058968,0.086400046656,0.050800027432,0.053300028782,0.040600021923999995,0.03300001782,0.03050001647,0.11940006447600002,0.08380004525200001,0.076200041148,0.045700024677999995,0.020300010961999997,0.031750017145,0.040600021923999995,0.06476253497175,0.052050028107000004,0.08445004560300001,0.11430006172200001,0.14220007678799998,2023-12-12
12-13,12,13,0.14220007678799998,0.022900012366000002,0.06100003294,0.040600021923999995,0.043200023328,0.106700057618,0.086400046656,0.050800027432,0.06100003294,0.055900030186,0.043200023328,0.03050001647,0.11940006447600002,0.08380004525200001,0.076200041148,0.045700024677999995,0.022900012366000002,0.035550019196999995,0.043200023328,0.066843786095625,0.058450031563,0.08445004560300001,0.11305006104700001,0.14220007678799998,2023-12-13
12-14,12,14,0.14220007678799998,0.022900012366000002,0.06100003294,0.045700024677999995,0.048300026082,0.106700057618,0.086400046656,0.058400031536,0.06100003294,0.06600003564,0.045700024677999995,0.035600019223999996,0.12450006723,0.08380004525200001,0.076200041148,0.045700024677999995,0.022900012366000002,0.040650021950999995,0.045700024677999995,0.069381287465875,0.06100003294,0.08445004560300001,0.115600062424,0.14220007678799998,2023-12-14
12-15,12,15,0.14220007678799998,0.022900012366000002,0.06350003429000001,0.045700024677999995,0.048300026082,0.109200058968,0.09400005076,0.058400031536,0.06100003294,0.07110003839399999,0.045700024677999995,0.043200023328,0.12450006723,0.08380004525200001,0.078700042498,0.045700024677999995,0.022900012366000002,0.044450024002999994,0.045700024677999995,0.071118788404125,0.062250033615000006,0.086350046629,0.116850063099,0.14220007678799998,2023-12-15
12-16,12,16,0.14220007678799998,0.022900012366000002,0.06350003429000001,0.045700024677999995,0.048300026082,0.111800060372,0.09400005076,0.058400031536,0.06100003294,0.07110003839399999,0.045700024677999995,0.043200023328,0.12950006993,0.08380004525200001,0.078700042498,0.045700024677999995,0.022900012366000002,0.044450024002999994,0.045700024677999995,0.07159378866062499,0.062250033615000006,0.086350046629,0.12065006515099999,0.14220007678799998,2023-12-16
